PHRED_SCORE	Sample1	Sample2	Sample3
0	0	0	0
1	0	0	0
2	10	15	79927
3	0	0	6
4	0	0	171
5	0	0	157
6	0	0	254
7	0	0	328
8	0	0	348
9	0	0	366
10	0	0	621
11	0	0	933
12	0	0	615
13	0	0	619
14	6484	6349	628
15	0	0	1260
16	0	0	1202
17	0	0	1860
18	0	0	1727
19	0	0	1937
20	0	0	1918
21	1346	1277	1387
22	0	0	2028
23	0	0	3596
24	0	0	2090
25	0	0	3059
26	0	0	3189
27	933	993	4695
28	0	0	4419
29	0	0	5520
30	0	0	6456
31	0	0	10836
32	60338	60780	7225
33	0	0	17463
34	0	0	6379
35	0	0	25404
36	430889	430586	19733
37	0	0	11179
38	0	0	66833
39	0	0	62647
40	0	0	140985
41	0	0	0
42	0	0	0
