DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	QiaSeq_data
0	0
1	0
2	0
3	5
4	6
5	6
6	6
7	10
8	10
9	12
10	12
11	15
12	17
13	17
14	22
15	22
16	22
17	23
18	33
19	34
20	36
21	36
22	36
23	49
24	56
25	61
26	61
27	62
28	62
29	68
30	74
31	74
32	74
33	80
34	80
35	80
36	80
37	80
38	80
39	80
40	80
41	80
42	80
43	80
44	80
45	80
46	94
47	108
48	110
49	118
50	118
51	118
52	118
53	118
54	118
55	118
56	118
57	118
58	118
59	118
60	118
61	127
62	127
63	128
64	147
65	163
66	163
67	186
68	194
69	194
70	194
71	194
72	194
73	194
74	194
75	194
76	194
77	194
78	194
79	194
80	215
81	215
82	215
83	233
84	237
85	252
86	289
87	298
88	311
89	314
90	314
91	324
92	343
93	352
94	352
95	386
96	405
97	419
98	422
99	422
100	441
101	443
102	461
103	480
104	482
105	491
106	499
107	505
108	505
109	505
110	508
111	535
112	535
113	535
114	544
115	544
116	571
117	571
118	571
119	571
120	644
121	679
122	695
123	706
124	714
125	742
126	742
127	742
128	755
129	799
130	799
131	836
132	836
133	847
134	847
135	873
136	906
137	950
138	970
139	970
140	989
141	1075
142	1075
143	1075
144	1075
145	1152
146	1152
147	1180
148	1191
149	1240
150	1255
151	1279
152	1279
153	1304
154	1347
155	1455
156	1472
157	1497
158	1584
159	1664
160	1688
161	1688
162	1740
163	1754
164	1825
165	1825
166	1843
167	1846
168	1906
169	1947
170	1949
171	1965
172	1990
173	2019
174	2136
175	2156
176	2173
177	2178
178	2183
179	2249
180	2249
181	2249
182	2256
183	2317
184	2344
185	2654
186	2654
187	2687
188	2764
189	2833
190	2900
191	2921
192	2921
193	2921
194	2921
195	2959
196	3005
197	3005
198	3077
199	3077
200	3080
201	3084
202	3130
203	3134
204	3157
205	3160
206	3209
207	3290
208	3390
209	3390
210	3390
211	3516
212	3700
213	3804
214	3829
215	3859
216	3859
217	3865
218	4002
219	4002
220	4002
221	4002
222	4002
223	4002
224	4002
225	4002
226	4002
227	4076
228	4081
229	4129
230	4129
231	4129
232	4182
233	4266
234	4505
235	4555
236	4563
237	4637
238	4637
239	4637
240	4851
241	4926
242	5015
243	5059
244	5189
245	5273
246	5273
247	5273
248	5356
249	5444
250	5461
251	5717
252	5762
253	5820
254	6218
255	6220
256	7143
257	7237
258	7423
259	7547
260	7700
261	7762
262	7762
263	7789
264	7864
265	7962
266	8252
267	8644
268	8979
269	9240
270	9343
271	9442
272	9442
273	9442
274	9442
275	9442
276	9519
